transaction_id,user_id,timestamp,category,merchant,amount,payment_mode,note,reckless
TXN00036,U064,2025-03-09 02:54:04,Shopping,"Carr, Mills and Gonzales",1785.46,Card,Overordered pasta,1
TXN00037,U092,2025-04-11 09:03:44,Shopping,Madden PLC,776.46,UPI,Bought extra Bills,0
TXN00038,U003,2025-06-14 09:14:00,Shopping,Carney Inc,350.27,Card,Late-night pasta order,0
TXN00039,U069,2025-03-18 05:21:31,Bills,Harper PLC,1395.23,Card,Gifted gym membership to friend,1
TXN00040,U031,2025-09-22 02:31:29,Food,Smith PLC,1272.93,Card,Purchased pizza for daily use,0
TXN00041,U073,2025-06-30 14:44:43,Food,Blackwell-West,441.01,UPI,Bought burger with friends,0
TXN00042,U080,2025-07-22 15:54:49,Travel,Hudson-Mueller,268.89,UPI,Regular movie ticket purchase,1
TXN00043,U077,2025-01-08 03:27:12,Travel,Briggs-Smith,1019.18,UPI,Monthly spend on Bills,0
TXN00044,U075,2025-04-17 12:14:18,Shopping,Armstrong PLC,1905.96,Card,Emotional purchase: tablet,1
TXN00045,U040,2025-04-21 00:22:30,Bills,"Mccarthy, Hernandez and Golden",1085.56,Card,Monthly spend on Food,0
TXN00046,U048,2025-07-31 01:46:12,Food,"Joseph, Adams and Morris",164.95,Card,Emotional purchase: subscription,1
TXN00047,U057,2025-05-01 21:49:19,Medical,Anderson PLC,708.92,UPI,Paid Medical bill,0
TXN00048,U005,2025-09-25 00:31:47,Travel,Walters Ltd,432.57,Card,Random pizza buy,1
TXN00049,U055,2025-09-18 18:31:44,Entertainment,"Hammond, Thompson and Lopez",1377.55,UPI,Extra subscription to Netflix,1
TXN00050,U018,2025-04-23 22:33:49,Shopping,"Moyer, Lopez and Flores",476.03,Card,Monthly spend on Shopping,0
TXN00051,U023,2025-07-22 21:30:52,Entertainment,Weaver-Patterson,320.29,Card,Saved money by avoiding Entertainment,0
TXN00052,U021,2025-01-12 22:23:29,Bills,Reid Ltd,961.66,Card,Medical movie ticket expense,0
TXN00053,U034,2025-09-16 08:24:56,Medical,"Dixon, Johnson and Brown",649.43,UPI,Emotional purchase: shirt,1
TXN00054,U044,2025-10-09 01:06:50,Medical,Davis Ltd,108.44,UPI,Invested in earphones,0
TXN00055,U085,2025-05-31 17:33:30,Entertainment,"Mcdaniel, Craig and Martin",1999.81,Card,Bought extra Bills,0
TXN00056,U076,2025-03-04 11:31:40,Travel,Rose-Gallagher,1910.2,Card,Emotional purchase: tablet,1
TXN00057,U029,2025-07-07 21:06:41,Shopping,"Harmon, Valencia and Freeman",230.18,UPI,Binge spending on Food,1
TXN00058,U042,2025-09-26 11:04:19,Entertainment,Brown-Smith,1248.23,UPI,Extra subscription to Prime Video,1
TXN00059,U046,2025-08-30 23:07:16,Travel,Thomas-Rich,1214.57,UPI,Drunk ordered shoes,1
TXN00060,U051,2025-04-11 00:17:50,Medical,"Gonzales, Cruz and Mitchell",713.08,UPI,Random shoes buy,0
TXN00061,U028,2025-04-25 01:11:17,Travel,Roberts-Stevens,1070.36,Card,Random groceries buy,1
TXN00062,U067,2025-05-14 00:58:03,Travel,Gutierrez-Galvan,1354.54,Card,Bought pasta with friends,1
TXN00063,U023,2025-08-15 12:23:38,Bills,Montes Inc,821.4,Card,Recharged utility Hotstar,0
TXN00064,U071,2025-04-14 22:27:37,Travel,"Ortiz, Arias and Chang",430.07,UPI,Bought sandwich with friends,0
TXN00065,U050,2025-08-16 22:50:51,Food,Sullivan and Sons,1375.13,UPI,Bought ice cream with friends,0
TXN00066,U002,2025-09-03 20:00:45,Shopping,Mitchell-Jones,1613.16,Card,Bought snacks on impulse,1
TXN00067,U085,2025-06-05 05:46:41,Shopping,Dunn Ltd,702.34,Card,Bought groceries on impulse,1
TXN00068,U031,2025-10-16 20:34:17,Entertainment,Sharp-Wilson,978.24,Card,Spent on Food weekend outing,0
TXN00069,U098,2025-09-10 03:31:10,Bills,Whitney-Moore,1019.78,Card,Spent on Bills weekend outing,1
TXN00070,U008,2025-07-06 17:11:38,Shopping,"Roberts, Ibarra and Hodge",302.07,Card,Purchased subscription for daily use,0
TXN00071,U034,2025-03-20 18:49:33,Food,Smith-Townsend,1207.4,UPI,Splurged on Zara,0
TXN00072,U084,2025-04-13 22:31:07,Entertainment,"Collins, Jackson and Mcdonald",1163.98,Card,Planned buy: earphones,0
TXN00073,U030,2025-09-06 20:21:21,Shopping,Cruz and Sons,891.24,UPI,Bought extra Medical,0
TXN00074,U033,2025-06-25 06:31:12,Food,"Lynn, Lynch and Hopkins",596.82,UPI,Spent on Shopping weekend outing,0
TXN00075,U001,2025-01-05 17:33:06,Entertainment,Calhoun Ltd,518.13,UPI,Spent on Travel weekend outing,0
TXN00076,U043,2025-05-16 22:25:25,Food,"Ortiz, Rodriguez and Martin",777.27,UPI,Essential Medical payment,0
TXN00077,U096,2025-02-15 13:17:47,Entertainment,"Moore, Rosario and Lutz",1002.62,Card,Random subscription buy,0
TXN00078,U024,2025-02-07 08:58:25,Medical,Smith PLC,650.48,UPI,Overordered coffee,1
TXN00079,U028,2025-01-19 07:57:28,Shopping,Walker LLC,1643.39,UPI,Late-night biryani order,0
TXN00080,U094,2025-06-15 18:56:02,Bills,"Gonzales, Norman and Eaton",1457.85,UPI,Planned buy: shirt,0
TXN00081,U025,2025-06-26 15:57:49,Travel,Solis-Stevens,1722.44,Card,Random pizza buy,1
TXN00082,U055,2025-01-29 23:41:00,Travel,Jacobs PLC,1784.7,Card,Bought extra Travel,1
TXN00083,U063,2025-05-13 03:24:56,Entertainment,Moreno Ltd,341.36,Card,Invested in earphones,0
TXN00084,U073,2025-11-06 17:49:02,Food,Hall Inc,580.92,Card,Purchased subscription for daily use,0
TXN00085,U049,2025-02-27 11:27:04,Shopping,Gamble and Sons,334.52,Card,Drunk ordered snacks,0
TXN00086,U043,2025-08-03 18:49:46,Travel,Bauer-Simon,898.62,UPI,Bought insurance for tablet,0
TXN00087,U045,2025-08-20 14:29:07,Travel,Sanchez-Anderson,1332.38,Card,Spent on Food weekend outing,0
TXN00088,U058,2025-03-26 18:52:48,Travel,Burke-Taylor,803.16,UPI,Casual Food expense,0
TXN00089,U005,2025-10-10 16:32:57,Shopping,Taylor-Garcia,1104.93,Card,Late-night biryani order,0
TXN00090,U032,2025-03-28 04:37:38,Bills,"Diaz, Parsons and Tate",616.37,Card,Bought insurance for movie ticket,0
TXN00091,U091,2025-05-20 18:58:16,Entertainment,Lawrence Inc,1103.37,Card,Purchased headphones for daily use,0
TXN00092,U003,2025-05-06 06:58:36,Medical,Taylor-Williams,1739.89,Card,Couldn't resist earphones,1
TXN00093,U051,2025-05-11 22:21:47,Travel,Wright-Barnes,1421.24,UPI,Binge spending on Travel,0
TXN00094,U064,2025-09-21 05:04:32,Entertainment,Jacobson and Sons,997.37,Card,Binge spending on Entertainment,1
TXN00095,U007,2025-07-24 10:16:36,Entertainment,Hines and Sons,1357.95,Card,Emotional purchase: snacks,1
TXN00096,U061,2025-05-05 18:39:06,Travel,"Cummings, Hubbard and Walker",432.99,Card,Gifted gym membership to friend,0
TXN00097,U062,2025-08-17 14:13:12,Shopping,Delacruz Inc,339.38,UPI,Casual Shopping expense,1
TXN00098,U075,2025-06-07 17:58:18,Entertainment,Bryant-Allen,846.37,Card,Overordered sandwich,1
TXN00099,U012,2025-01-24 10:35:56,Shopping,Ortega Group,884.48,Card,Casual Travel expense,0
TXN00100,U079,2025-09-16 08:30:43,Bills,Gomez-Lopez,215.96,UPI,Saved money by avoiding Bills,0
TXN00101,U089,2025-08-18 12:01:12,Food,Leon Ltd,1033.46,Card,Spent on Medical weekend outing,0
TXN00102,U090,2025-02-17 19:45:36,Entertainment,Holland LLC,767.86,Card,Planned buy: earphones,0
TXN00103,U018,2025-01-09 05:46:03,Bills,Shannon-Thompson,251.25,Card,Gifted pizza to friend,0
TXN00104,U085,2025-01-23 13:16:25,Shopping,Hall Inc,810.66,UPI,Bought extra Medical,0
TXN00105,U011,2025-04-27 19:38:17,Travel,"Roy, Blake and Manning",881.56,Card,Shopping spree for groceries,1
TXN00106,U096,2025-02-09 00:15:25,Shopping,"Moran, Mccall and King",1540.33,Card,Overordered pasta,0
TXN00107,U097,2025-06-19 16:57:07,Travel,Graham-Montoya,96.51,Card,Recharged utility Hotstar,0
TXN00108,U075,2025-05-16 13:02:02,Shopping,"Cisneros, Brown and Spears",830.31,Card,Drunk ordered pizza,0
TXN00109,U081,2025-09-07 12:54:25,Food,Paul Inc,811.43,UPI,Casual Travel expense,0
TXN00110,U062,2025-04-23 08:34:32,Food,"Jones, Duffy and Henderson",1461.63,UPI,Spent on Bills weekend outing,1
TXN00111,U066,2025-01-11 10:11:04,Travel,"Campbell, Brown and Tate",617.57,Card,Extra subscription to Netflix,1
TXN00112,U022,2025-01-13 18:11:16,Shopping,Martin-Cook,289.68,UPI,Extra subscription to Netflix,1
TXN00113,U051,2025-02-18 17:19:33,Shopping,Wilkins-Lowe,661.05,Card,Extra subscription to Zomato Gold,1
TXN00114,U045,2025-11-03 19:50:00,Bills,"Wright, Williams and Hudson",1045.74,UPI,Planned buy: tablet,1
TXN00115,U027,2025-01-09 13:37:29,Medical,Stewart-Malone,934.79,UPI,Gifted snacks to friend,0
TXN00116,U066,2025-03-20 17:03:07,Food,Pierce-Gomez,1649.33,UPI,Random headphones buy,0
TXN00117,U007,2025-06-25 17:01:33,Food,Park LLC,990.06,UPI,Couldn't resist pizza,0
TXN00118,U095,2025-09-30 23:30:20,Food,Fitzgerald-Ramos,1945.11,UPI,Overordered ice cream,1
TXN00119,U043,2025-06-12 18:07:43,Bills,"Miller, Sellers and Patterson",820.48,Card,Invested in shirt,0
TXN00120,U002,2025-10-04 13:58:53,Bills,"Trevino, Gardner and Leonard",1979.75,Card,Late-night pasta order,0
TXN00121,U089,2025-06-17 12:02:55,Entertainment,Carter and Sons,378.39,UPI,Gifted earphones to friend,0
TXN00122,U026,2025-09-28 12:44:04,Bills,Kelley PLC,1133.74,Card,Binge spending on Food,1
TXN00123,U017,2025-04-18 18:20:18,Bills,"Schmidt, Barrett and Guerra",1156.48,UPI,Binge spending on Entertainment,0
TXN00124,U099,2025-04-08 04:21:47,Bills,Moss-Bates,346.82,UPI,Invested in tablet,0
TXN00125,U019,2025-09-17 16:36:27,Food,"Evans, Wells and Kelley",760.6,UPI,Bought insurance for movie ticket,0
TXN00126,U004,2025-04-29 11:17:12,Bills,Stevens Group,214.9,Card,Bought insurance for pizza,0
TXN00127,U085,2025-09-20 07:41:45,Shopping,Roberts Group,1386.58,UPI,Couldn't resist shoes,1
TXN00128,U081,2025-03-12 23:54:34,Shopping,Foster-Velez,145.49,UPI,Regular headphones purchase,0
TXN00129,U093,2025-02-25 16:54:19,Food,"Smith, Conway and Ford",1180.76,Card,Purchased snacks for daily use,0
TXN00130,U095,2025-02-19 05:37:49,Travel,Rosario-Hebert,553.31,UPI,Couldn't resist shirt,0
TXN00131,U090,2025-01-13 06:58:14,Shopping,Hall-Fernandez,270.61,UPI,Monthly spend on Shopping,0
TXN00132,U092,2025-03-12 23:41:46,Food,Kelly LLC,498.77,UPI,Overordered coffee,1
TXN00133,U019,2025-08-04 06:23:47,Medical,"Dunn, Walker and Brown",660.07,Card,Medical headphones expense,0
TXN00134,U017,2025-08-19 17:23:03,Travel,Webb-Dawson,483.59,Card,Extra subscription to Prime Video,1
TXN00135,U074,2025-10-20 12:29:50,Medical,Hampton PLC,421.08,Card,Essential Food payment,0
TXN00136,U003,2025-01-08 12:52:28,Shopping,Johnson Ltd,1994.25,Card,Bought extra Entertainment,1
TXN00137,U038,2025-09-27 20:26:24,Shopping,Meyers-Shelton,1869.72,UPI,Overordered sandwich,0
TXN00138,U049,2025-07-19 06:22:34,Travel,"Romero, Wilkerson and Hardy",1376.32,UPI,Overordered sandwich,1
TXN00139,U083,2025-02-05 14:51:22,Shopping,"Lewis, Hoffman and Davis",1933.14,Card,Splurged on Nike,1
TXN00140,U012,2025-04-09 17:28:10,Food,"Ware, Allen and Lewis",1128.31,UPI,Casual Travel expense,1
TXN00141,U049,2025-06-23 22:14:01,Entertainment,"Hood, White and Smith",1965.83,UPI,Bought headphones on impulse,1
TXN00142,U009,2025-07-20 12:49:50,Entertainment,Green Ltd,943.95,UPI,Monthly spend on Bills,0
TXN00143,U023,2025-10-20 20:21:54,Bills,Weber Ltd,460.84,UPI,Essential Food payment,0
TXN00144,U022,2025-01-20 10:29:35,Food,Frost-Solomon,900.14,Card,Binge spending on Food,0
TXN00145,U049,2025-06-06 07:15:54,Travel,Rodriguez-Esparza,1035.5,UPI,Binge spending on Medical,0
TXN00146,U049,2025-01-13 17:37:32,Food,"Williams, Brown and White",1462.29,Card,Late-night burger order,1
TXN00147,U041,2025-06-14 21:08:19,Shopping,Davis-Martinez,400.6,UPI,Household necessity: movie ticket,0
TXN00148,U044,2025-05-16 07:11:08,Food,Johnston-Solomon,519.96,Card,Essential Shopping payment,0
TXN00149,U033,2025-03-07 08:55:22,Travel,Todd-Watson,1358.93,UPI,Monthly spend on Medical,1
TXN00150,U082,2025-07-27 16:34:35,Bills,Mcdonald-Lewis,502.49,Card,Regular earphones purchase,0
TXN00151,U034,2025-06-12 21:07:48,Entertainment,Martin-White,1895.34,UPI,Couldn't resist pizza,1
TXN00152,U043,2025-08-01 18:12:49,Bills,"Wright, Morales and Harmon",636.51,UPI,Essential Food payment,0
TXN00153,U069,2025-04-20 09:29:51,Bills,"Moore, Neal and Davidson",885.41,Card,Gifted pizza to friend,1
TXN00154,U070,2025-06-07 21:38:59,Bills,"Smith, Mendez and Hernandez",656.6,Card,Recharged utility Hotstar,0
TXN00155,U056,2025-06-10 07:00:59,Food,White Group,1111.89,Card,Regular earphones purchase,1
TXN00156,U057,2025-05-26 09:32:50,Bills,Gibson-Holland,987.1,Card,Recharged utility Prime Video,0
TXN00157,U006,2025-11-01 10:09:42,Food,Holmes Ltd,474.73,UPI,Medical movie ticket expense,1
TXN00158,U037,2025-09-10 13:18:27,Bills,Clark LLC,934.49,UPI,Paid Medical bill,0
TXN00159,U049,2025-01-07 07:03:46,Food,Obrien and Sons,891.87,Card,Bought tablet on impulse,1
TXN00160,U076,2025-09-27 21:19:17,Food,Allison PLC,382.03,Card,Bought headphones on impulse,1
TXN00161,U026,2025-10-03 08:40:22,Shopping,"Moore, Gardner and Gardner",1027.39,Card,Drunk ordered tablet,0
TXN00162,U028,2025-05-29 12:36:57,Shopping,"Gould, Mueller and Mckinney",1312.76,Card,Drunk ordered earphones,0
TXN00163,U031,2025-09-24 04:35:57,Travel,"Johnson, Lucas and Wood",232.43,Card,Planned buy: subscription,1
TXN00164,U052,2025-04-03 18:33:51,Food,Hernandez-Schneider,527.89,Card,Overordered pasta,1
TXN00165,U054,2025-05-28 05:13:54,Entertainment,"Johnson, Anderson and Hines",1347.23,Card,Late-night coffee order,0
TXN00166,U024,2025-06-15 19:00:52,Shopping,Carson-Gray,902.95,Card,Emotional purchase: shirt,1
TXN00167,U052,2025-06-30 22:19:12,Food,Smith LLC,1505.73,Card,Drunk ordered movie ticket,1
TXN00168,U077,2025-06-17 11:41:44,Entertainment,Diaz-Long,942.79,Card,Regular shoes purchase,0
TXN00169,U026,2025-08-30 23:04:47,Entertainment,Skinner and Sons,1778.33,Card,Bought extra Travel,1
TXN00170,U033,2025-02-18 14:56:19,Medical,Davis PLC,775.02,UPI,Bought burger with friends,0
TXN00171,U095,2025-09-04 08:16:28,Entertainment,"Daniels, Vargas and Bennett",1373.4,Card,Shopping spree for movie ticket,1
TXN00172,U082,2025-05-14 12:10:45,Bills,Jones and Sons,118.92,Card,Casual Travel expense,1
TXN00173,U062,2025-04-19 10:18:22,Travel,"Taylor, Daugherty and Ferguson",996.6,UPI,Gifted shoes to friend,1
TXN00174,U033,2025-08-22 16:47:19,Bills,"Hall, Hendrix and Rose",1257.52,UPI,Monthly spend on Food,1
TXN00175,U020,2025-09-26 07:40:40,Shopping,Bolton and Sons,733.52,Card,Bought burger with friends,0
TXN00176,U054,2025-01-14 15:47:48,Travel,Thompson-Logan,951.43,Card,Bought extra Food,1
TXN00177,U002,2025-06-21 09:15:00,Food,Luna and Sons,1376.82,UPI,Overordered sandwich,1
TXN00178,U002,2025-08-10 12:58:44,Shopping,"Anderson, White and Deleon",1670.19,Card,Drunk ordered movie ticket,0
TXN00179,U025,2025-08-23 14:01:15,Entertainment,"Cantu, Curtis and Burton",252.2,UPI,Random headphones buy,0
TXN00180,U088,2025-02-01 14:29:39,Bills,Nguyen PLC,540.44,UPI,Casual Medical expense,0
TXN00181,U099,2025-07-09 02:38:36,Medical,"Thomas, Castillo and Mullen",64.78,UPI,Invested in groceries,1
TXN00182,U097,2025-10-15 18:08:03,Medical,Sanders-Deleon,386.69,UPI,Essential Entertainment payment,1
TXN00183,U005,2025-05-26 07:50:35,Shopping,Paul-Dyer,932.51,Card,Binge spending on Medical,0
TXN00184,U094,2025-01-13 12:39:50,Entertainment,Cox and Sons,945.53,UPI,Monthly spend on Food,0
TXN00185,U089,2025-05-17 17:16:26,Bills,Austin Group,552.03,UPI,Casual Food expense,1
TXN00186,U022,2025-08-14 01:10:04,Shopping,Rhodes Ltd,323.51,Card,Extra subscription to Prime Video,1
TXN00187,U096,2025-03-19 23:28:37,Shopping,Schwartz and Sons,1964.34,Card,Extra subscription to Netflix,1
TXN00188,U037,2025-04-21 09:14:00,Food,Valenzuela and Sons,397.29,Card,Medical movie ticket expense,1
TXN00189,U011,2025-03-07 09:29:56,Food,Christensen LLC,1282.07,UPI,Bought headphones on impulse,1
TXN00190,U013,2025-01-02 19:45:14,Travel,Hess Inc,1255.5,UPI,Casual Entertainment expense,0
TXN00191,U072,2025-09-20 11:40:20,Travel,Reyes Inc,1224.35,Card,Regular tablet purchase,0
TXN00192,U083,2025-05-07 22:56:34,Shopping,Gutierrez and Sons,1819.51,Card,Couldn't resist pizza,0
TXN00193,U044,2025-09-30 16:06:49,Bills,Turner-Finley,552.73,UPI,Invested in subscription,1
TXN00194,U091,2025-09-15 14:51:31,Travel,Quinn LLC,135.81,Card,Gifted subscription to friend,0
TXN00195,U087,2025-04-01 06:59:31,Medical,Bond Group,937.32,UPI,Invested in subscription,0
TXN00196,U034,2025-09-09 15:30:28,Entertainment,"Fletcher, Sanchez and Kerr",1683.52,UPI,Emotional purchase: headphones,1
TXN00197,U072,2025-05-12 13:52:35,Medical,Johnson-Herrera,1123.66,UPI,Planned buy: pizza,0
TXN00198,U076,2025-01-10 03:39:03,Food,Hall-Fuller,964.23,Card,Drunk ordered groceries,1
TXN00199,U038,2025-03-30 19:58:33,Shopping,"Becker, Carroll and Hubbard",1236.96,UPI,Bought extra Travel,1
TXN00200,U068,2025-07-30 06:11:59,Entertainment,"Woods, Greer and King",1968.01,Card,Shopping spree for earphones,1
TXN00201,U040,2025-03-30 16:41:03,Food,"Ray, Guerrero and Sanchez",1189.79,Card,Purchased tablet for daily use,0
TXN00202,U027,2025-08-09 20:02:28,Entertainment,"Jackson, Kim and Fisher",387.62,UPI,Purchased shirt for daily use,1
TXN00203,U001,2025-02-15 18:06:33,Shopping,"Glenn, Perez and Bauer",547.41,UPI,Casual Entertainment expense,0
TXN00204,U021,2025-10-08 05:59:58,Medical,Proctor-Henson,695.72,Card,Paid monthly rent,0
TXN00205,U038,2025-11-01 01:27:36,Medical,Mclaughlin and Sons,1758.35,Card,Splurged on Nike,1
TXN00206,U035,2025-10-03 00:38:02,Bills,Edwards-Morgan,390.03,UPI,Saved money by avoiding Shopping,0
TXN00207,U041,2025-10-14 19:25:27,Food,Crosby Group,460.02,UPI,Paid monthly rent,1
TXN00208,U053,2025-06-10 15:04:19,Travel,Brown Inc,954.13,UPI,Purchased pizza for daily use,0
TXN00209,U011,2025-02-21 08:12:52,Food,Mills-Owens,652.27,UPI,Extra subscription to Hotstar,1
TXN00210,U032,2025-02-27 19:45:01,Medical,Hubbard LLC,809.31,UPI,Recharged utility Hotstar,0
TXN00211,U079,2025-02-21 20:29:34,Bills,"Ayala, Johnson and Fitzgerald",328.07,Card,Invested in tablet,0
TXN00212,U077,2025-09-09 05:08:38,Entertainment,Hanna-Allen,1453.32,Card,Purchased pizza for daily use,1
TXN00213,U093,2025-04-04 12:39:00,Shopping,Mcguire-Hampton,1087.41,Card,Bought burger with friends,0
TXN00214,U085,2025-05-11 07:21:17,Shopping,Frazier Group,684.43,Card,Random shoes buy,0
TXN00215,U032,2025-07-07 12:05:41,Bills,"Crawford, Taylor and Miller",651.46,UPI,Paid Food bill,1
TXN00216,U025,2025-07-21 09:13:37,Bills,Rasmussen Ltd,1525.42,UPI,Binge spending on Medical,1
TXN00217,U008,2025-09-28 16:06:58,Travel,Rasmussen-Suarez,688.74,UPI,Regular snacks purchase,0
TXN00218,U099,2025-10-10 13:54:40,Medical,"Cooper, Martin and Rodriguez",916.69,Card,Recharged utility Hotstar,0
TXN00219,U042,2025-05-22 05:41:33,Entertainment,"Garza, White and Page",1120.68,Card,Bought subscription on impulse,1
TXN00220,U047,2025-07-19 05:08:07,Food,Rodriguez-Rivera,327.51,Card,Medical headphones expense,0
TXN00221,U003,2025-02-09 17:37:03,Entertainment,Gill Inc,1539.52,UPI,Drunk ordered shirt,1
TXN00222,U019,2025-09-21 21:21:24,Bills,Moody Ltd,132.88,Card,Paid Medical bill,0
TXN00223,U011,2025-07-03 17:42:01,Food,Smith PLC,248.95,Card,Extra subscription to Zomato Gold,0
TXN00224,U048,2025-11-01 22:48:38,Food,Hernandez LLC,193.81,Card,Drunk ordered earphones,0
TXN00225,U019,2025-06-24 22:28:59,Shopping,Black-Garza,995.17,Card,Medical shoes expense,0
TXN00226,U067,2025-01-11 15:23:47,Medical,Smith-Cuevas,1191.29,UPI,Gifted subscription to friend,0
TXN00227,U035,2025-05-11 00:46:58,Bills,Salazar and Sons,480.26,UPI,Paid monthly rent,0
TXN00228,U079,2025-04-26 12:26:20,Shopping,Thomas-Thomas,484.96,Card,Invested in pizza,0
TXN00229,U071,2025-07-02 05:59:31,Shopping,"Taylor, Velasquez and Medina",1242.89,UPI,Casual Travel expense,0
TXN00230,U090,2025-04-06 15:07:19,Food,Soto Group,1220.61,UPI,Regular snacks purchase,0
TXN00231,U081,2025-04-17 03:39:39,Travel,"Smith, Wright and Perry",485.07,UPI,Gifted tablet to friend,0
TXN00232,U009,2025-02-13 07:53:48,Food,Aguilar-Erickson,1385.97,UPI,Spent on Entertainment weekend outing,0
TXN00233,U083,2025-02-26 23:27:05,Shopping,"Soto, Harvey and Reed",1835.96,Card,Extra subscription to Zomato Gold,0
TXN00234,U056,2025-06-24 14:03:28,Entertainment,Phillips-Moreno,1411.58,Card,Purchased groceries for daily use,1
TXN00235,U065,2025-01-26 12:20:29,Medical,Smith-Butler,307.11,Card,Saved money by avoiding Entertainment,0
TXN00236,U066,2025-08-03 20:59:08,Travel,Cross Ltd,526.08,UPI,Drunk ordered movie ticket,0
TXN00237,U079,2025-04-22 15:08:12,Shopping,Cook-Martinez,925.14,UPI,Medical groceries expense,0
TXN00238,U063,2025-10-08 22:24:14,Bills,"Lowery, Dudley and Castro",371.97,Card,Recharged utility Prime Video,0
TXN00239,U100,2025-07-08 19:42:41,Bills,"Jensen, Ford and Wood",991.3,UPI,Paid Bills bill,0
TXN00240,U085,2025-05-31 01:41:19,Food,"Wright, Pacheco and Spencer",1437.77,UPI,Binge spending on Travel,1
TXN00241,U076,2025-03-21 16:24:46,Entertainment,Valencia-Durham,1365.77,Card,Couldn't resist earphones,1
